date,price change,volume change
1-May-19,10.09,7454900
2-May-19,10.93,5547500
3-May-19,0.31,-12872900
6-May-19,-8.28,-702500
7-May-19,-2.22,-3955000
8-May-19,-2.86,535000
9-May-19,-2.46,296900
10-May-19,-12.51,3826500
13-May-19,5.3,-3582400
14-May-19,-0.36,43600
15-May-19,-3.62,187300
16-May-19,-17.3,10303400
17-May-19,-5.67,2739500
20-May-19,-0.28,-2522300
21-May-19,-12.35,681300
22-May-19,2.76,7861900
23-May-19,-4.86,-12410500
24-May-19,-1.93,-3823700
28-May-19,1.16,1655700
29-May-19,-1.64,-4042100
30-May-19,-3.06,2480200
31-May-19,-6.19,2657700
3-Jun-19,14.63,743100
4-Jun-19,2.99,-296700
5-Jun-19,9.36,6731400
6-Jun-19,-1.45,-4238700
7-Jun-19,8.38,-5418500
10-Jun-19,4.22,1068500
11-Jun-19,-7.84,3544000
12-Jun-19,4.65,-7029200
13-Jun-19,1.01,-734900
14-Jun-19,10.11,4883400
17-Jun-19,-0.29,399000
18-Jun-19,1.69,-6140700
19-Jun-19,-6.81,5288400
20-Jun-19,2.24,-3661400
21-Jun-19,1.78,-2451300
24-Jun-19,-3.88,431300
25-Jun-19,-0.49,2325100
26-Jun-19,3.57,-2167500
27-Jun-19,0.62,511700
28-Jun-19,3.71,1362000
1-Jul-19,-2.62,1045600
2-Jul-19,10.35,4942100
3-Jul-19,-1.8,-7135400
5-Jul-19,-2.76,-1185200
8-Jul-19,-0.28,310300
9-Jul-19,8.86,2954900
10-Jul-19,-0.32,-1631300
11-Jul-19,6.48,1686100
12-Jul-19,8.42,1799600
15-Jul-19,-1.12,-2851100
16-Jul-19,2.48,1615700
17-Jul-19,-1.32,-5006100
18-Jul-19,4.64,2289800
19-Jul-19,-2.5,-206000
22-Jul-19,4.49,-1819300
23-Jul-19,4.71,6049700
24-Jul-19,-36.06,11345500
25-Jul-19,-0.78,-12390600
26-Jul-19,7.73,-754400
29-Jul-19,6.49,-1164300
30-Jul-19,-0.65,1069200
31-Jul-19,-7.76,-918700
